file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
F2BJRLP3,0.0,30.7068125,corpus,-46.546086372517095,-46.86650939320409,4.451699989432614,10.29972558721101
ISLE_SESS0131_BLOCKD02_03_sprt1,0.0,4.5,corpus,-43.80413194444444,-53.53385279728816,3.8679425530287452,11.443148868500742
F2BJRLP1,0.0,25.309125,corpus,-45.81043498123272,-45.869099278603834,3.7727068024287895,8.1713368361116
F2BJRLP2,0.0,28.6474375,corpus,-45.73855802792321,-45.7433635574987,3.550956624926815,7.983564690353116
ISLE_SESS0131_BLOCKD02_01_sprt1,0.0,4.125,corpus,-43.23311232596852,-52.325426248403694,2.7052057720024796,11.85118774544399
ISLE_SESS0131_BLOCKD02_02_sprt1,0.0,3.875,corpus,-44.849785558956185,-50.92995802561442,2.549560355308706,12.358243745435463
